,cluster_label,tags,tags_keybert,content
0,54,"['clean energy', 'affordable energy', 'stove']","['stove', 'cooking', 'firewood', 'combustion', 'kirkos', 'clay', 'fuel', 'galvanized', 'chamber', 'aethiopien', 'tikikil', 'office', 'metal', 'ababa', 'cylindrical', 'market', 'fed', 'diameter', 'inlet', 'internal']","Tikikil stove

GIZ
Office contact GIZ Office Ethiopia Country Director Peter Palesch giz-aethiopien@giz.de Office address GIZ Office Ethiopia Kazanchis, Kirkos Sub City, Woreda 08 Addis Ababa 00251-11-5180200 00251-11-5540764 giz-aethiopien@giz.de
Yes
Tikikil stove is used for cooking. It uses firewood as fuel which is continuously fed into the combustion chamber. The stove has a cylindrical inner clay liner as combustion chamber, covered with galvanized sheet metal on the outside. The 4cm thick liner has internal diameter of 11cm and is 23.5cm high. At its bottom is an 11cmX11cm opening as fuel and air inlet. 
20 USD
scale up
more than 42,000
Yes
No
https://energypedia.info/images/2/2c/GIZ_HERA_2012_Tikikil_Stove_ET.pdf
https://energypedia.info/images/2/2c/GIZ_HERA_2012_Tikikil_Stove_ET.pdf
DIY / open source
Yes
Product
Available in market"
1,208,['education'],"['teachers', 'teacher', 'education', 'students', 'bengali', 'training', 'learning', 'factory', 'industrial', 'educational', 'educating', 'workers']","Alokito hridoy - enlightening the souls of children
Alokito Hridoy (meaning enlightened soul in Bengali) is an educational NGO based in Bangladesh that provides quality education for children. The root cause of discrepancies in the job market lies in the early years of education. Children are crammed into a factory model that fails to prepare them for jobs that are yet to exist. To break this vicious cycle with a human-centric approach, Alokito Hridoy wanted to be more aware of how, where and who they piloted their first intervention with. They selected the children of factory workers in Tangail, Mirzapur, as their sample population and started conducting research to understand them better through a number of focused group discussions, home visits and interviews. Despite being blue-collar workers, the factory workers dreamed of prestigious, white-collar jobs for their children. To advance their dreams, Alokito Hridoy launched a low cost charter school 50 kilometers away from Dhaka in Tangail, Mirzapur. They started gathering evidence in the school to gradually address the problems in the education system. They came up with one solution after another to provide education that is relevant for now and the future. Gradually, they came up with an education model rooted in empathy, critical thinking, and collaborative problem-solving. They are improving the quality of education by preparing children with social, moral, emotional and cognitive skills to be adaptive, proactive and innovative problem solvers. The learning style is inquiry based: learning by playing, problem solving and inquiring. The initiative started the school with 100 students in Tangail, Mirzapur, about 50 kilometers north of Dhaka. The first year they educated students up to grade 3, all children of industrial workers. They are now educating 200 children up to grade 7 - their goal is to grow with the students and add a new grade each year. The school has a nominal fee, which adds a sense of accountability to the community and parents. A portion of Home Junctions sales, a retail outlet for home goods, goes to support Alokito Hridoy School. Alokito Hridoy knew from the start that a building is not the heart of a school, but rather it is the teachers. Hence they hire local teachers since they are the most knowledgeable about the area and the context. Teachers have an impact on students when they connect with them and are interested to learn more about them. Alokito Hridoy invest heavily in teacher training to nurture and empower them as the empathetic, 21st century facilitators and the catalyst of change in the school and community. The teacher training approaches have expanded beyond the walls of Alokito Hridoy. They have partnered with the government, non-government and private schools to work on teacher development in primary and secondary education. Their training modules are designed for Bangla, English, Madrasah medium schools across the country and has the potential to bridge these silos with the hope of ensuring access to quality education for all."
2,164,"['nature-based solutions', 'design', 'sustainable fashion']","['biofabricating', 'plastics', 'crafting', 'technologies']","BioFabricating Materials
Solution holder: Batoul Al-Rashdan

In this last century, we have been crafting, designing, and growing materials independently from their future use. This has caused major design flaws in our daily lives, where we find ourselves surrounded by plastics, while observing knowledge about local materials and techniques disappear and left unused even when in abundance. This research focused on exploring material alternatives to the current ones. By bridging craftsmanship techniques and today's easier access to technologies, exploring alternative material resources to craft their processing and develop products and materials hand in hand.
https://www.instagram.com/bio.bor/ 
https://class.textile-academy.org/2022/batoul-rashdan/assignments/week06/
https://www.linkedin.com/posts/world-economic-forum_growthsummit23-activity-7055238984469241856-Dp5x?utm_source=share&utm_medium=member_desktop

Female"
3,363,"['nature-based solutions', 'recycling', 'design', 'sustainable fashion']","['customizable', 'acoustics', 'tools', 'lab', 'optimizing', 'useful', 'helping', 'helps']","Circulamic
Solution holder: Batoul Al-Rashdan

Circulamic by B.O.R is a clever way to add a partition between spaces that also helps with acoustics. The design is customizable and modular, adding both texture and color to a space while also helping to disguise what’s behind it.
I further developed this and used recycled material from the lab, I also included machines and digital fabrication tools like a heat press to better stick the joints I designed on Rhino + grasshopper and I found out that this structure/piece is useful in many applications as you see here in the pictures, this can be wearables like a skirt, top or part of the Shirts to add more design and coverage to certain clothes you already have at the same time this can be adjusted to wall curtain/partition. Optimizing the flexibility of both Applications as well as transparency options.
https://class.textile-academy.org/2022/batoul-rashdan/assignments/week03/

Female"
4,270,"['digital platform', 'innovation challenges', 'innovation during covid-19', 'reduction of emissions']","['buses', 'bus', 'traffic']","Gakyid Ride (City Bus ride app)
This app provides commuters with information on their finger tips as to the city bus schedule, fares, real time bus location to encourage more citizens to shift to taking city buses rather than driving individual cars thus easing traffic congestion and reduce emission and use of fossil fuels in Bhutan"
5,758,"['water supply', 'wind pump']","['pumping', 'pump', 'wind', 'rural', 'water', 'powered', 'innovation', 'gmail', 'incubation', 'challenge', 'stress', 'drive', 'acting', 'niceinnovationet', 'hammer', 'energy', 'muleta']","Self-acting water pump

Jaleta Muleta
info@niceinnovationet.com
jaleta.muleta@gmail.com 

+251-944-30-88-01 +251-934-42-26-82
NICE innovation and incubation center
Access to water is a challenge in rural areas, due to access to energy to supply water from the sources. Such pumping device has been used for nearly a century in rural indigenous community for lifting water to certain height, which is useful application for water pumping and supply to a community. This pump is powered by wind.

Constraint: From the pump, a particular hydram works under a particular range of drive flow and of drive height. If the drive height or drive flow is too low, the water has not enough energy to create a water hammer effect. If the drive height or the drive flow is too high, the energy of the water causes too much stress on the pump and reduces its life time.
ready for production up on request
tested, but production and supply limitted
https://www.niceinnovationet.com/
DIY / open source
Yes
Product
Advance order has to be given"
6,54,"['energy saving', 'affordable energy', 'women in energy sector']","['cookstoves', 'stove', 'baking', 'cooking', 'ethiopia', 'pot', 'clay', 'tigray', 'burned', 'gmail', 'email', 'oromia', 'aberamelesse', 'cheapest', 'usd', 'market']","Gonzye stove

Ministry of Water and Energy of Ethiopia, National Improved Cookstoves Program (NICSP)
Name: Mr. Abera Melesse Ayalneh
Title: Technology Advisor
Email: aberamelesse@gmail.com
Phone: +251-929-104049
yes
Cooking stove, mainly injera
it is made of burned clay, 3 to 4 cylindrical enclosures, no pot-rests, developed by the Government in 2002, can be found in Amhara, Oromia, Tigray and Southern regions, price from 1 to 2 USD, cheapest Injera baking ICS stove in Ethiopia), stove-test by the Ministry of Water and Energy
Scale up
Diffused in many regions but couldn't find data on number distributed.
Not available 
DIY / open source
Yes
Product
Available in market"
7,42,"['clean energy', 'waste for livelihoods', 'upcycling', 'sustainable energy']","['biodegradable', 'healthyfire', 'cookstoves', 'coffee', 'stoves', 'ceo', 'biochar', 'biomass', 'sawdust']","Fuel pallet

Healthyfire / Anega energies manufacturing 
Name: Dr. Tsegaye Nega - CEO Email: tsegaye.nega@healthyfire.cc Phone: +251940156639
No
The company makes fuel pellets from biodegradable waste (e.g., spent coffee grounds, coffee husks, sawdust, wood chips, khat stems). Using pellets as a fuel source in gasifier cookstoves is superior to any other solid biomass because pellets are uniform in size, have low moisture content, have a high energy density, and are easier to transport and store. When these pellets are burned in fan-forced gasifier stoves, they turn into biochar (i.e., charcoal).
0.6 USD/kg
ready
Only for testing 
No
No
https://anegaenergiesmanufacturing.org/product/fuel-pellets/ 
NA 
IP protected
Yes
Product
Advance order has to be given"
8,353,"['energy', 'water management', 'biogas']","['biopower', 'fuelwood', 'renewable', 'biomass', 'diesel', 'maize', 'alternator', 'gasification', 'fuels', 'burnt', 'agricultural', 'electrified', 'electricity', 'gasified', 'engine', 'charcoal', 'fuel', 'furnace', 'sustainability', 'global']","Bio-Mass Gasifier System 
Bio-Mass Gasifier System by Mr. Raj Singh Dahiya
Enersol Biopower Pvt. Ltd. F-937, Mahadev Industries,Plot no. 1, jaisalya, near kailash center, VKI road no. 17, Phone no.: 9460188117, Email Id: raj.0831dahiya@gmail.com
There are lots of villages in the world that are still not electrified or are receiving power erratically. Given the limited global supply of fossil fuels, the search for renewable energy has been on the top of the sustainability agenda. Biomass gasification, a century-old technology, is viewed today as an alternative to conventional fuel. In the gasification process, wood, charcoal, and other biomass materials are gasified to produce so-called producer gas for power or electricity generation. Mr. Rai Singh Dahiya observed that the users of biomass gas (producer gas) as a fuel generally complain about choking in the engine after running for a certain period. He solved this problem. The innovator has changed the conventional design of gasifiers, especially the filters and cooling units to get clean gas and ensure smooth operation of the engine at low operational cost. It is a downdraft type bio- mass gasifier, a compact and efficient system for converting BioMass into producer gas which is used as a fuel in running Diesel Engine by making little modification to the engine. The Biomass is burnt in a furnace packed from all the sides and has one outlet to pass the gases to another chamber where these gases are cooled and then passed through the filter for filtration. This filtered gas is then fed to the engine, as a substitute for diesel or like other fuel, for its running. 1. Compact, mobile, and a soundproof unit 2. Extremely clean gas generated from the gasifier, making downstream cleaning systems simple. 3. It converts the agricultural waste into the generation of the electrical power 4. No need for continuous flow of water, easy to operate, no extra training or skill is required 5. Reliable & rugged system, stand-alone mobile system, can be used anywhere where we need power. 6. All types of wood waste and fuelwood Stalks of cotton, pulses, coconut shells, coconut palm stalks, Maize cobs, Rice husk, Branches & twinges, briquettes of various agricultural residues, Certain Industrial wastes of paper mills, plywood industry, etc can be used as a fuel. 7. The fuel consumption is reported to be 1 kg/kVA, claimed to be almost 30-35 percent lesser than conventional gasifiers, and depending upon the feedstock it produces ash and charcoal (7-10%) as a by-product.
8
1. Capacity-5kw to 50 kW, 2. Three Phase, P.F. 0.8, 3. Water-cooled led, Two Cylinder, four-cylinder, six-cylinder and eight-cylinder 4. Self Start, Alternator with complete standard accessories (without Battery).

IP protected
No
Product
Available in market"
9,0,"['clean energy', 'water', 'design']","['refrigerator', 'baking']","Mitti Cool Refrigerator
Mr. Mansukhbhai Prajapati
Morbi, Gujarat
Innovator Mr. Mansukhbhai Prajapati hails from Morbi district of Gujarat. His family left Morbi after the breakdown of Machchu Dam in 1979 and shifted to Vankaner. After completing his SSC, he worked for three years in a roof tiles manufacturing unit in Vankaner. After that, he joined his fathers business of manufacturing pottery in 1998. Mr. Mansukhbhai Prajapati has developed a small size natural refrigerator from clay material to store the perishable foods like vegetables, fruits, milk, etc and also for cooling water. It does not require any external source of energy for giving a cooling effect. He introduces the natural refrigerator as a ""Mitti Cool"" as totally made up from clay. It has two large water tanks at the top and bottom that cool the sides in the same manner as clay pots, keep water cool in summer. The upper portion of the refrigerator can store about 20 L water, while the bottom cabinet has separate space for storing fruits, vegetables and milk. The natural cooling process inside the refrigerator can keep vegetables and fruits fresh for around 6-7 days, while milk can be preserved for 3 days. A small plastic door having a magnetic lock is also provided to cover it from the front side. The overall dimension of the unit is 16.5 (length) X 13.5 (width) X 26.5 (height) inch and the total weight is 50 kg. The whole unit is painted in red colour for a better look. The internal storage capacity is around 50 L. Christened mud is prepared by mixing different types of materials like clay, grok, talcum powder, silicate and soda ash; and poured into the mould made of Plaster of Paris and exposed to sunlight. When it becomes dry mould is removed and the body is kept in a furnace at 700 °C for baking. The baked body is painted with red colour. For manufacturing one unit 7 days are required. Through the bottom layer of the upper chamber, small droplets of water continuously percolate below the bottom of first shelves which keep inner climate moist/wet permanently. Water evaporates through side walls also provides a cooling effect and reduces the inside temperature and thereby provides a cooling effect inside the unit. Apart from saving electricity bill, the new device also preserves the original taste of fruits and vegetables. It gives higher cooling in a dry climate compared to a humid climate. It takes about 12 h to get a cooling effect when using the first time. About 20 L of water, 5 kg of vegetables/fruits and 5 L of milk can be kept inside the refrigerator. It can lower the temperature by about 8 °C in comparison to the room temperature. It has been validated at KVK, Chas wad, Bharuch and found effectively working. The temperature in Mitti Cool is 4-5 °C lower than room temperature. The shelf life of coriander was found increased up to 4 days against 1.5-2 days at room temperature. The shelf life of brinjal, chilly & okra is 3-4 days in room temperature, which was found to be increased up to 6-7, 4-5 and 5-6 days respectively.
9

IP protected
Yes
Product
Available in market"
